"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-3.32110584e-01,7.37848319e-03,0.00000000e+00,5.00000000e-01,2.38000005e-01,0.00000000e+00
-3.30849469e-01,7.42442301e-03,0.00000000e+00,5.00000000e-01,2.38999993e-01,0.00000000e+00
-3.29588324e-01,7.47036329e-03,0.00000000e+00,5.00000000e-01,2.39999995e-01,0.00000000e+00
-3.28327179e-01,7.51630357e-03,0.00000000e+00,5.00000000e-01,2.40999997e-01,0.00000000e+00
-3.27066034e-01,7.56224385e-03,0.00000000e+00,5.00000000e-01,2.41999999e-01,0.00000000e+00
-3.25804889e-01,7.60818413e-03,0.00000000e+00,5.00000000e-01,2.43000001e-01,0.00000000e+00
-3.24543744e-01,7.65412441e-03,0.00000000e+00,5.00000000e-01,2.44000003e-01,0.00000000e+00
-3.23282599e-01,7.70006469e-03,0.00000000e+00,5.00000000e-01,2.45000005e-01,0.00000000e+00
-3.22021455e-01,7.74600543e-03,0.00000000e+00,5.00000000e-01,2.46000007e-01,0.00000000e+00
-3.20760310e-01,7.79194478e-03,0.00000000e+00,5.00000000e-01,2.46999994e-01,0.00000000e+00
-3.19497854e-01,7.83655327e-03,0.00000000e+00,5.00000000e-01,2.47999996e-01,0.00000000e+00
-3.18229973e-01,7.87565857e-03,0.00000000e+00,5.00000000e-01,2.48999998e-01,0.00000000e+00
