TimeStep,Time,"U:0","U:1","U:2","Points:0","Points:1","Points:2"
100,1.00000000e+02,-8.73775184e-02,-2.00000465e-01,0.00000000e+00,7.04999983e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.80393609e-02,-2.05706924e-01,0.00000000e+00,7.09999979e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.87012035e-02,-2.11413383e-01,0.00000000e+00,7.14999974e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.93476084e-02,-2.17117459e-01,0.00000000e+00,7.20000029e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.99900198e-02,-2.22820833e-01,0.00000000e+00,7.25000024e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.06270668e-02,-2.28523463e-01,0.00000000e+00,7.30000019e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.12524387e-02,-2.34224439e-01,0.00000000e+00,7.35000014e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.18778107e-02,-2.39925414e-01,0.00000000e+00,7.40000010e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.24954861e-02,-2.45636508e-01,0.00000000e+00,7.45000005e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.31123495e-02,-2.51348674e-01,0.00000000e+00,7.50000000e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.37335938e-02,-2.57085115e-01,0.00000000e+00,7.54999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.43582654e-02,-2.62840599e-01,0.00000000e+00,7.59999990e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.49922055e-02,-2.68624753e-01,0.00000000e+00,7.64999986e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.56496671e-02,-2.74481565e-01,0.00000000e+00,7.69999981e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.63117331e-02,-2.80351430e-01,0.00000000e+00,7.74999976e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.70366448e-02,-2.86399007e-01,0.00000000e+00,7.79999971e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.77615714e-02,-2.92446673e-01,0.00000000e+00,7.85000026e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.85873193e-02,-2.98782170e-01,0.00000000e+00,7.90000021e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.94223580e-02,-3.05144250e-01,0.00000000e+00,7.95000017e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.00386769e-01,-3.11894357e-01,0.00000000e+00,8.00000012e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.01379029e-01,-3.18728000e-01,0.00000000e+00,8.05000007e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.02531590e-01,-3.26076180e-01,0.00000000e+00,8.10000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.03727147e-01,-3.33562315e-01,0.00000000e+00,8.14999998e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.05116397e-01,-3.41728508e-01,0.00000000e+00,8.19999993e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.06550805e-01,-3.50053251e-01,0.00000000e+00,8.24999988e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.08209819e-01,-3.59267265e-01,0.00000000e+00,8.29999983e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.09901622e-01,-3.68614525e-01,0.00000000e+00,8.34999979e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.11822166e-01,-3.79039794e-01,0.00000000e+00,8.39999974e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.13776892e-01,-3.89686316e-01,0.00000000e+00,8.45000029e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.15865663e-01,-4.01200533e-01,0.00000000e+00,8.50000024e-01,5.00000000e-01,0.00000000e+00
