"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-3.11062075e-02,3.70243609e-01,0.00000000e+00,1.73999995e-01,5.00000000e-01,0.00000000e+00
-3.12769786e-02,3.69911909e-01,0.00000000e+00,1.74999997e-01,5.00000000e-01,0.00000000e+00
-3.14407013e-02,3.69498670e-01,0.00000000e+00,1.75999999e-01,5.00000000e-01,0.00000000e+00
-3.16044241e-02,3.69085401e-01,0.00000000e+00,1.77000001e-01,5.00000000e-01,0.00000000e+00
-3.17681469e-02,3.68672162e-01,0.00000000e+00,1.78000003e-01,5.00000000e-01,0.00000000e+00
-3.19318697e-02,3.68258893e-01,0.00000000e+00,1.79000005e-01,5.00000000e-01,0.00000000e+00
-3.20955962e-02,3.67845625e-01,0.00000000e+00,1.80000007e-01,5.00000000e-01,0.00000000e+00
-3.22593153e-02,3.67432386e-01,0.00000000e+00,1.80999994e-01,5.00000000e-01,0.00000000e+00
-3.24230380e-02,3.67019147e-01,0.00000000e+00,1.81999996e-01,5.00000000e-01,0.00000000e+00
-3.25867608e-02,3.66605878e-01,0.00000000e+00,1.82999998e-01,5.00000000e-01,0.00000000e+00
-3.27504836e-02,3.66192609e-01,0.00000000e+00,1.84000000e-01,5.00000000e-01,0.00000000e+00
-3.28997709e-02,3.65615457e-01,0.00000000e+00,1.85000002e-01,5.00000000e-01,0.00000000e+00
-3.30482237e-02,3.65028828e-01,0.00000000e+00,1.86000004e-01,5.00000000e-01,0.00000000e+00
-3.31966728e-02,3.64442170e-01,0.00000000e+00,1.87000006e-01,5.00000000e-01,0.00000000e+00
-3.33451219e-02,3.63855541e-01,0.00000000e+00,1.87999994e-01,5.00000000e-01,0.00000000e+00
-3.34935747e-02,3.63268882e-01,0.00000000e+00,1.88999996e-01,5.00000000e-01,0.00000000e+00
-3.36420238e-02,3.62682253e-01,0.00000000e+00,1.89999998e-01,5.00000000e-01,0.00000000e+00
-3.37904766e-02,3.62095594e-01,0.00000000e+00,1.91000000e-01,5.00000000e-01,0.00000000e+00
-3.39389257e-02,3.61508965e-01,0.00000000e+00,1.92000002e-01,5.00000000e-01,0.00000000e+00
-3.40873785e-02,3.60922307e-01,0.00000000e+00,1.93000004e-01,5.00000000e-01,0.00000000e+00
-3.42350118e-02,3.60326618e-01,0.00000000e+00,1.94000006e-01,5.00000000e-01,0.00000000e+00
-3.43692079e-02,3.59582156e-01,0.00000000e+00,1.94999993e-01,5.00000000e-01,0.00000000e+00
-3.45034041e-02,3.58837694e-01,0.00000000e+00,1.95999995e-01,5.00000000e-01,0.00000000e+00
-3.46376002e-02,3.58093232e-01,0.00000000e+00,1.96999997e-01,5.00000000e-01,0.00000000e+00
-3.47717963e-02,3.57348770e-01,0.00000000e+00,1.97999999e-01,5.00000000e-01,0.00000000e+00
-3.49059887e-02,3.56604278e-01,0.00000000e+00,1.99000001e-01,5.00000000e-01,0.00000000e+00
-3.50401849e-02,3.55859816e-01,0.00000000e+00,2.00000003e-01,5.00000000e-01,0.00000000e+00
